4,8,13,14,19,22,0
7,11,13,14,19,23,3
7,11,12,15,20,21,3
5,10,12,14,17,23,3
6,10,13,14,20,23,3
6,9,12,14,18,21,1
5,10,13,15,17,21,2
7,10,12,14,17,22,3
5,9,12,15,20,23,0
6,8,13,15,16,20,0
7,10,13,15,16,20,3
6,9,12,14,18,22,0
7,10,12,15,17,22,0
4,8,12,15,18,20,2
7,11,12,15,16,21,3
4,8,13,15,18,23,1
6,11,12,14,18,23,0
6,8,13,14,20,23,0
7,8,12,15,20,20,2
5,10,12,14,19,21,3
4,8,12,15,18,23,3
5,8,13,14,18,21,3
7,11,12,15,19,21,3
7,10,13,15,20,21,0
5,8,12,15,19,21,0
4,9,12,14,18,23,3
5,10,13,14,18,22,2
6,8,12,14,17,20,2
6,10,13,14,16,20,2
5,9,12,15,16,22,2
6,8,13,14,20,22,3
7,10,12,15,20,23,2
5,9,12,15,17,20,1
5,11,12,15,18,21,3
7,10,13,14,17,22,0
5,10,12,15,20,22,2
7,10,13,15,18,22,0
4,9,12,15,16,22,1
5,11,12,15,19,20,0
5,10,13,15,19,20,0
6,10,12,14,18,23,0
7,10,13,15,18,23,1
6,8,12,14,19,22,0
7,10,13,14,19,20,3
4,11,13,15,20,23,0
6,9,12,15,20,22,1
6,10,12,14,17,20,3
4,11,12,15,17,23,1
4,10,12,14,20,20,3
4,10,12,14,16,21,1
5,9,13,15,20,23,1
7,8,13,15,16,23,3
5,8,12,15,19,21,2
7,10,13,15,16,22,3
7,10,12,15,19,20,0
6,11,12,14,16,20,3
4,8,12,15,20,22,2
6,10,13,15,20,20,0
7,8,13,15,17,21,3
7,9,12,15,16,21,2
6,8,12,14,18,22,2
5,8,12,14,20,22,3
4,8,13,15,18,22,0
4,11,13,14,17,23,2
7,9,13,14,19,21,0
6,9,12,15,18,23,3
4,8,13,14,16,23,0
5,10,12,14,20,23,1
6,8,13,15,17,20,2
7,8,13,14,18,20,3
5,9,13,15,19,23,0
6,10,13,14,16,22,1
6,11,12,15,20,20,1
6,9,12,15,17,21,1
4,10,13,15,17,21,1
7,9,13,15,17,23,0
4,11,12,15,18,20,3
7,11,12,15,20,21,1
4,9,13,15,20,23,2
6,9,13,15,17,21,0
5,10,12,14,18,21,3
4,8,13,14,17,23,2
4,8,12,15,19,21,2
7,11,12,15,19,21,0
6,8,12,15,20,23,3
7,10,13,14,17,21,0
5,10,13,15,16,21,2
4,8,13,15,20,21,2
5,9,12,15,19,20,3
7,8,12,15,18,23,3
4,10,13,14,19,21,1
7,11,12,14,18,22,1
4,11,13,14,17,22,2
6,11,12,14,20,20,2
7,10,12,14,16,20,2
5,8,13,14,20,23,0
6,11,13,14,20,20,1
6,8,12,14,16,22,2
5,10,13,14,20,20,1
7,8,12,14,20,23,0
7,8,13,14,18,22,1
7,9,13,14,17,21,0
6,9,12,15,19,22,2
7,10,12,15,16,21,1
7,10,12,14,19,21,2
4,8,12,15,20,20,1
7,11,12,15,18,22,0
6,11,13,14,20,21,1
7,10,12,14,20,22,2
6,11,12,15,18,22,1
7,10,13,15,20,21,3
4,10,12,15,18,20,3
6,8,12,15,19,20,1
5,8,12,14,20,20,1
7,9,13,15,18,21,2
4,9,12,15,17,23,1
7,8,12,15,17,22,2
5,9,13,14,19,22,2
5,8,12,14,20,23,0
6,9,13,15,19,22,2
4,11,12,14,20,20,2
7,10,12,14,20,22,1
6,10,13,15,16,20,0
7,9,13,14,20,21,1
7,9,13,14,19,22,3
4,9,12,15,19,22,1
6,9,13,15,20,20,2
5,8,13,14,19,20,1
5,10,13,15,17,22,3
4,9,13,15,20,21,2
7,9,12,15,19,21,0
4,10,12,14,20,20,3
4,11,12,15,18,23,3
4,11,13,14,16,20,3
5,10,12,14,20,20,0
4,9,12,14,19,20,1
5,11,13,14,16,21,0
4,9,13,14,20,21,2
5,10,12,15,20,22,0
7,9,13,14,19,22,2
4,10,13,14,18,22,2
4,8,13,14,17,21,1
4,10,12,14,18,21,0
5,8,12,15,19,21,2
5,11,12,14,17,21,1
5,11,13,15,16,20,1
4,8,12,15,17,22,3
6,11,13,14,20,23,3
5,10,13,14,20,21,1
7,8,12,15,16,23,0
7,8,12,14,20,23,1
6,10,13,15,19,22,0
6,8,12,14,18,21,3
5,10,12,15,20,21,0
4,11,12,14,19,23,2
5,8,12,15,18,22,3
7,9,12,15,17,21,0
7,9,13,15,20,22,2
4,9,12,14,16,23,1
5,10,13,14,17,20,2
5,9,12,15,17,21,3
7,11,13,14,17,21,1
6,8,13,14,19,21,2
5,10,12,15,19,20,0
5,8,12,14,16,22,0
7,9,13,15,18,22,2
6,10,13,14,17,22,2
6,8,12,14,17,21,0
4,9,12,15,17,22,3
4,8,12,14,16,23,0
5,8,12,14,18,22,3
6,8,13,15,18,23,2
7,11,12,15,16,20,1
7,10,13,15,20,23,0
7,11,13,14,20,21,2
7,8,13,15,16,22,2
6,8,13,15,19,20,2
6,8,12,14,16,22,2
5,9,12,15,16,22,0
5,10,12,14,20,23,3
4,8,12,14,17,20,0
7,11,12,15,16,20,1
7,11,13,14,20,20,0
6,9,12,15,17,22,3
5,8,13,15,17,23,2
5,11,13,15,16,22,3
5,8,13,14,20,23,1
6,8,13,14,16,23,2
7,8,12,15,20,20,2
6,10,13,15,17,22,1
5,11,12,14,17,21,3
6,11,12,15,16,23,3
5,9,12,14,16,20,1
7,11,13,15,19,22,2
7,11,12,15,17,21,3
4,10,12,14,18,20,3
5,8,12,15,18,21,2
4,10,13,15,16,23,1
7,9,12,15,19,22,1
7,10,13,15,18,23,3
7,11,12,14,19,22,3
6,8,12,14,17,22,1
6,9,12,15,18,22,1
6,11,13,15,16,23,0
5,9,13,15,18,23,2
4,8,12,15,18,22,2
5,11,12,14,19,21,2
6,11,12,14,18,21,0
4,8,13,15,17,20,1
6,11,12,14,18,22,0
4,8,13,15,17,21,3
6,8,12,14,17,23,1
6,11,12,14,17,23,2
5,9,13,15,19,21,1
6,10,13,14,17,23,3
4,10,13,15,20,20,0
6,10,12,15,16,23,2
4,8,13,15,19,23,2
4,8,13,15,18,22,2
6,11,12,15,17,21,2
5,8,12,14,19,20,1
4,9,12,14,19,22,2
6,9,12,15,17,20,1
6,11,13,14,17,20,2
4,8,12,15,20,23,1
7,11,12,15,20,22,3
6,9,12,15,19,23,1
7,8,13,14,20,23,0
4,9,12,14,20,23,1
4,11,12,14,16,20,1
7,9,13,14,16,21,1
6,9,13,15,16,21,3
7,10,13,15,17,23,3
7,10,12,14,20,20,2
5,8,12,14,17,22,0
5,8,12,14,17,23,0
7,9,12,15,17,21,0
5,10,12,15,18,22,2
4,11,13,15,20,23,0
4,10,13,15,18,22,3
6,8,12,14,20,20,2
4,9,13,15,17,20,2
4,9,13,14,16,20,2
6,9,13,14,19,23,1
7,8,12,14,17,21,1
4,9,12,15,18,22,3
5,11,13,14,17,22,0
6,10,12,14,18,20,3
7,9,13,15,17,20,3
5,9,13,14,17,22,3
5,10,13,15,20,21,3
7,8,12,15,18,21,3
4,8,13,14,19,20,0
5,10,12,15,17,22,0
7,11,13,14,19,22,1
5,9,12,14,19,23,1
4,8,13,15,18,21,3
4,10,13,15,19,20,0
5,10,12,15,20,20,3
6,11,13,14,20,20,2
7,11,13,14,20,20,0
6,8,13,14,20,23,0
5,8,12,15,17,22,0
7,8,12,14,18,22,0
6,10,12,15,16,23,3
7,9,13,15,20,20,2
7,9,12,14,18,23,1
7,10,12,14,20,20,2
5,8,12,14,20,23,0
7,8,12,15,18,23,2
7,9,12,15,18,22,2
7,11,12,14,16,20,3
6,10,13,14,16,21,2
5,8,13,15,20,20,0
5,8,13,15,17,22,1
6,11,12,15,18,23,2
4,10,13,14,20,22,0
5,10,12,15,18,23,3
7,11,12,14,18,23,3
5,11,12,15,16,23,1
5,9,13,15,17,22,0
5,9,13,14,19,21,3
4,8,13,14,16,21,3
6,11,13,14,20,22,0
5,8,13,15,16,23,1
4,8,13,14,18,22,3
4,11,13,15,19,23,0
6,8,13,14,17,23,0
4,9,12,15,19,21,2
5,9,12,14,19,21,2
5,8,13,14,19,23,2
4,10,12,14,20,20,0
5,9,13,15,20,22,1
5,9,13,15,20,22,2
4,9,13,14,17,21,0
5,10,12,15,17,23,1
4,9,13,14,16,21,0
6,11,12,15,20,23,1
4,8,12,15,16,20,2
6,11,13,15,18,20,1
4,8,13,15,18,22,1
5,8,13,15,19,21,0
6,11,12,15,16,22,2
6,11,12,14,18,21,0
6,9,13,14,17,22,0
4,8,12,14,19,20,3
4,11,12,15,19,21,0
5,8,12,15,18,21,0
6,9,12,14,19,22,3
6,8,13,14,16,22,0
5,10,12,14,18,21,3
6,9,12,15,16,23,1
7,8,13,15,17,20,3
4,10,12,14,17,22,3
4,9,13,15,19,21,3
7,9,12,14,20,23,1
